Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Dec 5 2014,7:00p,Oklahoma City Thunder,103,Philadelphia 76ers,91,Box Score,,15092,
Fri Dec 5 2014,7:00p,Denver Nuggets,89,Washington Wizards,119,Box Score,,19451,
Fri Dec 5 2014,7:30p,Los Angeles Lakers,96,Boston Celtics,113,Box Score,,18624,
Fri Dec 5 2014,7:30p,Atlanta Hawks,98,Brooklyn Nets,75,Box Score,,16146,
Fri Dec 5 2014,7:30p,Cleveland Cavaliers,105,Toronto Raptors,91,Box Score,,20077,
Fri Dec 5 2014,8:00p,San Antonio Spurs,107,Memphis Grizzlies,101,Box Score,,18119,
Fri Dec 5 2014,8:00p,Houston Rockets,114,Minnesota Timberwolves,112,Box Score,OT,12101,
Fri Dec 5 2014,8:30p,Phoenix Suns,118,Dallas Mavericks,106,Box Score,,20010,
Fri Dec 5 2014,8:30p,Miami Heat,85,Milwaukee Bucks,109,Box Score,,16325,
Fri Dec 5 2014,9:00p,Orlando Magic,98,Utah Jazz,93,Box Score,,18997,
Fri Dec 5 2014,10:00p,Indiana Pacers,101,Sacramento Kings,102,Box Score,OT,15512,
Sat Dec 6 2014,7:30p,Philadelphia 76ers,108,Detroit Pistons,101,Box Score,OT,16514,
Sat Dec 6 2014,8:00p,Golden State Warriors,112,Chicago Bulls,102,Box Score,,22353,
Sat Dec 6 2014,8:00p,Phoenix Suns,95,Houston Rockets,100,Box Score,,18060,
Sat Dec 6 2014,8:30p,Minnesota Timberwolves,101,San Antonio Spurs,123,Box Score,,18581,
Sat Dec 6 2014,10:00p,Orlando Magic,105,Sacramento Kings,96,Box Score,,16021,
Sat Dec 6 2014,10:30p,New Orleans Pelicans,100,Los Angeles Clippers,120,Box Score,,19060,
Sun Dec 7 2014,1:00p,Washington Wizards,93,Boston Celtics,101,Box Score,,16716,
Sun Dec 7 2014,3:30p,Denver Nuggets,84,Atlanta Hawks,96,Box Score,,12143,
Sun Dec 7 2014,6:00p,Oklahoma City Thunder,96,Detroit Pistons,94,Box Score,,13090,
Sun Dec 7 2014,6:00p,Miami Heat,87,Memphis Grizzlies,103,Box Score,,16572,
Sun Dec 7 2014,7:30p,Milwaukee Bucks,102,Dallas Mavericks,125,Box Score,,19413,
Sun Dec 7 2014,7:30p,Portland Trail Blazers,103,New York Knicks,99,Box Score,,19812,
Sun Dec 7 2014,9:30p,New Orleans Pelicans,104,Los Angeles Lakers,87,Box Score,,18997,
Mon Dec 8 2014,7:00p,Atlanta Hawks,108,Indiana Pacers,92,Box Score,,14519,
Mon Dec 8 2014,7:00p,Boston Celtics,132,Washington Wizards,133,Box Score,2OT,14828,
Mon Dec 8 2014,7:30p,Cleveland Cavaliers,110,Brooklyn Nets,88,Box Score,,17732,
Mon Dec 8 2014,7:30p,Denver Nuggets,107,Toronto Raptors,112,Box Score,OT,19800,
Mon Dec 8 2014,8:00p,Golden State Warriors,102,Minnesota Timberwolves,86,Box Score,,10296,
Mon Dec 8 2014,10:00p,Utah Jazz,92,Sacramento Kings,101,Box Score,,16511,
Mon Dec 8 2014,10:30p,Phoenix Suns,120,Los Angeles Clippers,121,Box Score,OT,19060,
Tue Dec 9 2014,7:00p,Toronto Raptors,101,Cleveland Cavaliers,105,Box Score,,20562,
Tue Dec 9 2014,7:30p,Portland Trail Blazers,98,Detroit Pistons,86,Box Score,,12813,
Tue Dec 9 2014,8:00p,Dallas Mavericks,105,Memphis Grizzlies,114,Box Score,,16512,
Tue Dec 9 2014,8:00p,New York Knicks,93,New Orleans Pelicans,104,Box Score,,13789,
Tue Dec 9 2014,8:00p,Milwaukee Bucks,101,Oklahoma City Thunder,114,Box Score,,18203,
Tue Dec 9 2014,9:00p,Miami Heat,103,Phoenix Suns,97,Box Score,,14963,
Tue Dec 9 2014,9:00p,San Antonio Spurs,96,Utah Jazz,100,Box Score,,18382,
Tue Dec 9 2014,10:30p,Sacramento Kings,95,Los Angeles Lakers,98,Box Score,,18267,
Wed Dec 10 2014,7:00p,Boston Celtics,87,Charlotte Hornets,96,Box Score,,15276,
Wed Dec 10 2014,7:00p,Los Angeles Clippers,103,Indiana Pacers,96,Box Score,,16392,
Wed Dec 10 2014,7:00p,Washington Wizards,91,Orlando Magic,89,Box Score,,16081,
Wed Dec 10 2014,7:30p,Philadelphia 76ers,79,Atlanta Hawks,95,Box Score,,11733,
Wed Dec 10 2014,8:00p,Brooklyn Nets,80,Chicago Bulls,105,Box Score,,11733,
Wed Dec 10 2014,8:00p,New Orleans Pelicans,107,Dallas Mavericks,112,Box Score,,19988,
Wed Dec 10 2014,8:00p,Portland Trail Blazers,82,Minnesota Timberwolves,90,Box Score,,10337,
Wed Dec 10 2014,8:30p,New York Knicks,95,San Antonio Spurs,109,Box Score,,18581,
Wed Dec 10 2014,10:30p,Miami Heat,82,Denver Nuggets,102,Box Score,,13433,
Wed Dec 10 2014,10:30p,Houston Rockets,93,Golden State Warriors,105,Box Score,,19596,
Thu Dec 11 2014,8:00p,Cleveland Cavaliers,94,Oklahoma City Thunder,103,Box Score,,18203,
Thu Dec 11 2014,10:30p,Houston Rockets,113,Sacramento Kings,109,Box Score,OT,16676,
Fri Dec 12 2014,7:00p,Portland Trail Blazers,106,Chicago Bulls,115,Box Score,,21725,
Fri Dec 12 2014,7:00p,Los Angeles Clippers,96,Washington Wizards,104,Box Score,,17437,
Fri Dec 12 2014,7:30p,Orlando Magic,81,Atlanta Hawks,87,Box Score,,13247,
Fri Dec 12 2014,7:30p,New York Knicks,101,Boston Celtics,95,Box Score,,17989,
Fri Dec 12 2014,7:30p,Philadelphia 76ers,70,Brooklyn Nets,88,Box Score,,16326,
Fri Dec 12 2014,7:30p,Indiana Pacers,94,Toronto Raptors,106,Box Score,,19800,
Fri Dec 12 2014,8:00p,Charlotte Hornets,107,Memphis Grizzlies,113,Box Score,2OT,15897,
Fri Dec 12 2014,8:00p,Oklahoma City Thunder,111,Minnesota Timberwolves,92,Box Score,,13557,
Fri Dec 12 2014,8:00p,Cleveland Cavaliers,114,New Orleans Pelicans,119,Box Score,,18069,
Fri Dec 12 2014,9:00p,Detroit Pistons,105,Phoenix Suns,103,Box Score,,17007,
Fri Dec 12 2014,9:00p,Miami Heat,100,Utah Jazz,95,Box Score,,19911,
Fri Dec 12 2014,9:30p,Los Angeles Lakers,112,San Antonio Spurs,110,Box Score,OT,18581,
Sat Dec 13 2014,2:00p,Golden State Warriors,105,Dallas Mavericks,98,Box Score,,20317,
Sat Dec 13 2014,7:00p,Brooklyn Nets,114,Charlotte Hornets,87,Box Score,,17113,
Sat Dec 13 2014,7:00p,Portland Trail Blazers,95,Indiana Pacers,85,Box Score,,17206,
Sat Dec 13 2014,7:00p,Atlanta Hawks,99,Orlando Magic,100,Box Score,,15939,
Sat Dec 13 2014,7:30p,Los Angeles Clippers,106,Milwaukee Bucks,111,Box Score,,16227,
Sat Dec 13 2014,7:30p,Memphis Grizzlies,120,Philadelphia 76ers,115,Box Score,OT,13698,
Sat Dec 13 2014,8:00p,Denver Nuggets,96,Houston Rockets,108,Box Score,,18136,
Sat Dec 13 2014,10:00p,Detroit Pistons,95,Sacramento Kings,90,Box Score,,16242,
Sun Dec 14 2014,6:00p,Chicago Bulls,93,Miami Heat,75,Box Score,,19600,
Sun Dec 14 2014,6:00p,Golden State Warriors,128,New Orleans Pelicans,122,Box Score,OT,15037,
Sun Dec 14 2014,6:00p,Utah Jazz,84,Washington Wizards,93,Box Score,,15220,
Sun Dec 14 2014,7:00p,Los Angeles Lakers,100,Minnesota Timberwolves,94,Box Score,,15008,
Sun Dec 14 2014,7:00p,Phoenix Suns,88,Oklahoma City Thunder,112,Box Score,,18203,
Sun Dec 14 2014,7:30p,Toronto Raptors,95,New York Knicks,90,Box Score,OT,19812,
Sun Dec 14 2014,8:00p,San Antonio Spurs,99,Denver Nuggets,91,Box Score,,16544,
Mon Dec 15 2014,7:00p,Charlotte Hornets,88,Cleveland Cavaliers,97,Box Score,,20562,
Mon Dec 15 2014,7:00p,Los Angeles Lakers,91,Indiana Pacers,110,Box Score,,15261,
Mon Dec 15 2014,7:00p,Boston Celtics,105,Philadelphia 76ers,87,Box Score,,12903,
Mon Dec 15 2014,7:30p,Chicago Bulls,86,Atlanta Hawks,93,Box Score,,16805,
Mon Dec 15 2014,7:30p,Orlando Magic,82,Toronto Raptors,95,Box Score,,19800,
Mon Dec 15 2014,9:00p,Milwaukee Bucks,96,Phoenix Suns,94,Box Score,,17327,
Mon Dec 15 2014,10:00p,San Antonio Spurs,95,Portland Trail Blazers,108,Box Score,,19441,
Mon Dec 15 2014,10:30p,Detroit Pistons,91,Los Angeles Clippers,113,Box Score,,19060,
Tue Dec 16 2014,7:00p,Minnesota Timberwolves,95,Washington Wizards,109,Box Score,,15823,
Tue Dec 16 2014,7:30p,Miami Heat,95,Brooklyn Nets,91,Box Score,,16827,
Tue Dec 16 2014,8:00p,Golden State Warriors,98,Memphis Grizzlies,105,Box Score,,18119,
Tue Dec 16 2014,8:00p,Utah Jazz,111,New Orleans Pelicans,119,Box Score,,13179,
Tue Dec 16 2014,8:00p,Dallas Mavericks,107,New York Knicks,87,Box Score,,19812,
Tue Dec 16 2014,10:30p,Oklahoma City Thunder,104,Sacramento Kings,92,Box Score,,17317,
Wed Dec 17 2014,7:00p,Phoenix Suns,111,Charlotte Hornets,106,Box Score,,15459,
Wed Dec 17 2014,7:00p,Atlanta Hawks,127,Cleveland Cavaliers,98,Box Score,,20562,
Wed Dec 17 2014,7:30p,Orlando Magic,92,Boston Celtics,109,Box Score,,16764,
Wed Dec 17 2014,7:30p,Dallas Mavericks,117,Detroit Pistons,106,Box Score,,12287,
Wed Dec 17 2014,7:30p,Utah Jazz,105,Miami Heat,87,Box Score,,19633,
Wed Dec 17 2014,8:00p,Brooklyn Nets,89,Toronto Raptors,105,Box Score,,19800,
Wed Dec 17 2014,8:30p,Memphis Grizzlies,117,San Antonio Spurs,116,Box Score,3OT,18581,
Wed Dec 17 2014,10:00p,Milwaukee Bucks,97,Portland Trail Blazers,104,Box Score,,19495,
Wed Dec 17 2014,10:30p,Houston Rockets,115,Denver Nuggets,111,Box Score,OT,12107,
Wed Dec 17 2014,10:30p,Indiana Pacers,100,Los Angeles Clippers,102,Box Score,,19060,
Thu Dec 18 2014,8:00p,New York Knicks,97,Chicago Bulls,103,Box Score,,21875,
Thu Dec 18 2014,8:30p,New Orleans Pelicans,99,Houston Rockets,90,Box Score,,18137,
Thu Dec 18 2014,10:00p,Milwaukee Bucks,108,Sacramento Kings,107,Box Score,,15645,
Thu Dec 18 2014,10:30p,Oklahoma City Thunder,109,Golden State Warriors,114,Box Score,,19596,
Fri Dec 19 2014,7:00p,Utah Jazz,101,Orlando Magic,94,Box Score,,16032,
Fri Dec 19 2014,7:00p,Charlotte Hornets,109,Philadelphia 76ers,91,Box Score,,13398,
Fri Dec 19 2014,7:30p,Minnesota Timberwolves,98,Boston Celtics,114,Box Score,,17042,
Fri Dec 19 2014,7:30p,Brooklyn Nets,91,Cleveland Cavaliers,95,Box Score,,20562,
Fri Dec 19 2014,7:30p,Toronto Raptors,110,Detroit Pistons,100,Box Score,,16274,
Fri Dec 19 2014,7:30p,Washington Wizards,105,Miami Heat,103,Box Score,,19600,
Fri Dec 19 2014,8:00p,Chicago Bulls,103,Memphis Grizzlies,97,Box Score,,18119,
Fri Dec 19 2014,8:00p,Portland Trail Blazers,129,San Antonio Spurs,119,Box Score,3OT,18581,
Fri Dec 19 2014,9:00p,Los Angeles Clippers,106,Denver Nuggets,109,Box Score,,15030,
Fri Dec 19 2014,10:30p,Oklahoma City Thunder,104,Los Angeles Lakers,103,Box Score,,18997,
Sat Dec 20 2014,1:00p,Phoenix Suns,99,New York Knicks,90,Box Score,,19812,
Sat Dec 20 2014,7:00p,Utah Jazz,86,Charlotte Hornets,104,Box Score,,17384,
Sat Dec 20 2014,7:00p,Portland Trail Blazers,114,New Orleans Pelicans,88,Box Score,,16079,
Sat Dec 20 2014,8:00p,Atlanta Hawks,104,Houston Rockets,97,Box Score,,16998,
Sat Dec 20 2014,8:30p,San Antonio Spurs,93,Dallas Mavericks,99,Box Score,,20504,
Sat Dec 20 2014,9:00p,Indiana Pacers,73,Denver Nuggets,76,Box Score,,14125,
Sat Dec 20 2014,10:30p,Milwaukee Bucks,102,Los Angeles Clippers,106,Box Score,,19060,
Sun Dec 21 2014,3:30p,New York Knicks,108,Toronto Raptors,118,Box Score,,19800,
Sun Dec 21 2014,4:30p,Memphis Grizzlies,91,Cleveland Cavaliers,105,Box Score,,20562,
Sun Dec 21 2014,6:00p,Detroit Pistons,105,Brooklyn Nets,110,Box Score,,17732,
Sun Dec 21 2014,6:00p,Boston Celtics,84,Miami Heat,100,Box Score,,19720,
Sun Dec 21 2014,6:00p,Philadelphia 76ers,96,Orlando Magic,88,Box Score,,15682,
Sun Dec 21 2014,6:00p,Los Angeles Lakers,101,Sacramento Kings,108,Box Score,,17317,
Sun Dec 21 2014,6:00p,Phoenix Suns,104,Washington Wizards,92,Box Score,,18207,
Sun Dec 21 2014,7:00p,Indiana Pacers,100,Minnesota Timberwolves,96,Box Score,,12687,
Sun Dec 21 2014,7:00p,New Orleans Pelicans,101,Oklahoma City Thunder,99,Box Score,,18203,
Mon Dec 22 2014,7:00p,Denver Nuggets,82,Charlotte Hornets,110,Box Score,,16913,
Mon Dec 22 2014,8:00p,Toronto Raptors,120,Chicago Bulls,129,Box Score,,21846,
Mon Dec 22 2014,8:00p,Portland Trail Blazers,95,Houston Rockets,110,Box Score,,18316,
Mon Dec 22 2014,8:00p,Utah Jazz,97,Memphis Grizzlies,91,Box Score,,16991,
Mon Dec 22 2014,8:30p,Atlanta Hawks,105,Dallas Mavericks,102,Box Score,,20339,
Mon Dec 22 2014,8:30p,Los Angeles Clippers,118,San Antonio Spurs,125,Box Score,,18581,
Mon Dec 22 2014,10:30p,Sacramento Kings,108,Golden State Warriors,128,Box Score,,19596,
Tue Dec 23 2014,7:00p,Minnesota Timberwolves,104,Cleveland Cavaliers,125,Box Score,,20562,
Tue Dec 23 2014,7:00p,New Orleans Pelicans,84,Indiana Pacers,96,Box Score,,17336,
Tue Dec 23 2014,7:00p,Boston Celtics,95,Orlando Magic,100,Box Score,,17489,
Tue Dec 23 2014,7:00p,Chicago Bulls,99,Washington Wizards,91,Box Score,,20356,
Tue Dec 23 2014,7:30p,Los Angeles Clippers,104,Atlanta Hawks,107,Box Score,,19191,
Tue Dec 23 2014,7:30p,Denver Nuggets,96,Brooklyn Nets,102,Box Score,,17080,
Tue Dec 23 2014,7:30p,Philadelphia 76ers,91,Miami Heat,87,Box Score,,19600,
Tue Dec 23 2014,8:00p,Charlotte Hornets,108,Milwaukee Bucks,101,Box Score,,14653,
Tue Dec 23 2014,8:00p,Portland Trail Blazers,115,Oklahoma City Thunder,111,Box Score,OT,18203,
Tue Dec 23 2014,9:00p,Dallas Mavericks,115,Phoenix Suns,124,Box Score,,18055,
Tue Dec 23 2014,10:30p,Golden State Warriors,105,Los Angeles Lakers,115,Box Score,,18997,
Thu Dec 25 2014,12:00p,Washington Wizards,102,New York Knicks,91,Box Score,,19812,
Thu Dec 25 2014,2:30p,Oklahoma City Thunder,114,San Antonio Spurs,106,Box Score,,18581,
Thu Dec 25 2014,5:00p,Cleveland Cavaliers,91,Miami Heat,101,Box Score,,19817,
Thu Dec 25 2014,8:00p,Los Angeles Lakers,93,Chicago Bulls,113,Box Score,,22865,
Thu Dec 25 2014,10:30p,Golden State Warriors,86,Los Angeles Clippers,100,Box Score,,19540,
Fri Dec 26 2014,1:00p,Brooklyn Nets,109,Boston Celtics,107,Box Score,,18624,
Fri Dec 26 2014,7:00p,Cleveland Cavaliers,98,Orlando Magic,89,Box Score,,18846,
Fri Dec 26 2014,7:30p,Milwaukee Bucks,107,Atlanta Hawks,77,Box Score,,19016,
Fri Dec 26 2014,7:30p,Indiana Pacers,109,Detroit Pistons,119,Box Score,,13408,
Fri Dec 26 2014,8:00p,Houston Rockets,117,Memphis Grizzlies,111,Box Score,OT,18119,
Fri Dec 26 2014,8:00p,San Antonio Spurs,90,New Orleans Pelicans,97,Box Score,,18376,
Fri Dec 26 2014,8:00p,Charlotte Hornets,75,Oklahoma City Thunder,98,Box Score,,18203,
Fri Dec 26 2014,8:30p,Los Angeles Lakers,98,Dallas Mavericks,102,Box Score,,20424,
Fri Dec 26 2014,9:00p,Minnesota Timberwolves,102,Denver Nuggets,106,Box Score,,14516,
Fri Dec 26 2014,10:00p,Philadelphia 76ers,93,Portland Trail Blazers,114,Box Score,,19972,
Fri Dec 26 2014,10:00p,Phoenix Suns,115,Sacramento Kings,106,Box Score,,17317,
Sat Dec 27 2014,3:30p,Toronto Raptors,110,Los Angeles Clippers,98,Box Score,,19335,
Sat Dec 27 2014,7:00p,Orlando Magic,102,Charlotte Hornets,94,Box Score,,19085,
Sat Dec 27 2014,7:00p,Boston Celtics,88,Washington Wizards,101,Box Score,,20356,
Sat Dec 27 2014,7:30p,Memphis Grizzlies,103,Miami Heat,95,Box Score,,19744,
Sat Dec 27 2014,8:00p,Indiana Pacers,110,Brooklyn Nets,85,Box Score,,17732,
Sat Dec 27 2014,8:00p,New Orleans Pelicans,100,Chicago Bulls,107,Box Score,,21935,
Sat Dec 27 2014,8:30p,Atlanta Hawks,90,Milwaukee Bucks,85,Box Score,,16788,
Sat Dec 27 2014,9:00p,Philadelphia 76ers,71,Utah Jazz,88,Box Score,,18890,
Sat Dec 27 2014,10:00p,New York Knicks,129,Sacramento Kings,135,Box Score,OT,17317,
Sat Dec 27 2014,10:30p,Minnesota Timberwolves,97,Golden State Warriors,110,Box Score,,19596,
Sun Dec 28 2014,4:30p,Detroit Pistons,103,Cleveland Cavaliers,80,Box Score,,20562,
Sun Dec 28 2014,7:00p,Houston Rockets,106,San Antonio Spurs,110,Box Score,,18581,
Sun Dec 28 2014,7:30p,Oklahoma City Thunder,107,Dallas Mavericks,112,Box Score,,20417,
Sun Dec 28 2014,9:00p,Toronto Raptors,116,Denver Nuggets,102,Box Score,,14216,
Sun Dec 28 2014,9:00p,New York Knicks,79,Portland Trail Blazers,101,Box Score,,19800,
Sun Dec 28 2014,9:30p,Phoenix Suns,116,Los Angeles Lakers,107,Box Score,,18997,
Mon Dec 29 2014,7:00p,Milwaukee Bucks,104,Charlotte Hornets,94,Box Score,OT,17430,
Mon Dec 29 2014,7:00p,Chicago Bulls,92,Indiana Pacers,90,Box Score,,18165,
Mon Dec 29 2014,7:30p,Sacramento Kings,99,Brooklyn Nets,107,Box Score,,17732,
Mon Dec 29 2014,7:30p,Orlando Magic,102,Miami Heat,101,Box Score,,19887,
Mon Dec 29 2014,8:00p,Washington Wizards,104,Houston Rockets,103,Box Score,,18322,
Mon Dec 29 2014,10:30p,Utah Jazz,97,Los Angeles Clippers,101,Box Score,,19060,
Tue Dec 30 2014,7:00p,Detroit Pistons,109,Orlando Magic,86,Box Score,,17414,
Tue Dec 30 2014,7:30p,Cleveland Cavaliers,101,Atlanta Hawks,109,Box Score,,19215,
Tue Dec 30 2014,8:00p,Brooklyn Nets,96,Chicago Bulls,82,Box Score,,22032,
Tue Dec 30 2014,8:00p,San Antonio Spurs,87,Memphis Grizzlies,95,Box Score,,18119,
Tue Dec 30 2014,8:00p,Phoenix Suns,106,New Orleans Pelicans,110,Box Score,,16364,
Tue Dec 30 2014,8:30p,Washington Wizards,87,Dallas Mavericks,114,Box Score,,20397,
Tue Dec 30 2014,9:00p,Los Angeles Lakers,111,Denver Nuggets,103,Box Score,,17248,
Tue Dec 30 2014,9:00p,Minnesota Timberwolves,94,Utah Jazz,100,Box Score,,18947,
Tue Dec 30 2014,10:00p,Toronto Raptors,97,Portland Trail Blazers,102,Box Score,OT,20053,
Tue Dec 30 2014,10:30p,Philadelphia 76ers,86,Golden State Warriors,126,Box Score,,19596,
Wed Dec 31 2014,1:00p,Sacramento Kings,84,Boston Celtics,106,Box Score,,18624,
Wed Dec 31 2014,3:00p,Miami Heat,95,Indiana Pacers,106,Box Score,,18165,
Wed Dec 31 2014,6:00p,New York Knicks,78,Los Angeles Clippers,99,Box Score,,19198,
Wed Dec 31 2014,7:00p,Milwaukee Bucks,96,Cleveland Cavaliers,80,Box Score,,20562,
Wed Dec 31 2014,7:00p,Charlotte Hornets,83,Houston Rockets,102,Box Score,,18276,
Wed Dec 31 2014,7:00p,New Orleans Pelicans,93,San Antonio Spurs,95,Box Score,OT,18581,
Wed Dec 31 2014,8:00p,Phoenix Suns,134,Oklahoma City Thunder,137,Box Score,OT,18203,
Thu Jan 1 2015,8:00p,Denver Nuggets,101,Chicago Bulls,106,Box Score,,21794,
Thu Jan 1 2015,8:00p,Sacramento Kings,110,Minnesota Timberwolves,107,Box Score,,13337,
Fri Jan 2 2015,7:00p,Cleveland Cavaliers,91,Charlotte Hornets,87,Box Score,,19307,
Fri Jan 2 2015,7:00p,Brooklyn Nets,100,Orlando Magic,98,Box Score,,17008,
Fri Jan 2 2015,7:30p,Dallas Mavericks,119,Boston Celtics,101,Box Score,,18624,
Fri Jan 2 2015,7:30p,Detroit Pistons,97,New York Knicks,81,Box Score,,19812,
Fri Jan 2 2015,8:00p,Houston Rockets,83,New Orleans Pelicans,111,Box Score,,17705,
Fri Jan 2 2015,8:00p,Washington Wizards,102,Oklahoma City Thunder,109,Box Score,,18203,
Fri Jan 2 2015,8:30p,Indiana Pacers,94,Milwaukee Bucks,91,Box Score,,16238,
Fri Jan 2 2015,9:00p,Philadelphia 76ers,96,Phoenix Suns,112,Box Score,,16514,
Fri Jan 2 2015,9:00p,Atlanta Hawks,98,Utah Jazz,92,Box Score,,19029,
Fri Jan 2 2015,10:30p,Toronto Raptors,105,Golden State Warriors,126,Box Score,,19596,
Fri Jan 2 2015,10:30p,Memphis Grizzlies,109,Los Angeles Lakers,106,Box Score,,18997,
Sat Jan 3 2015,7:00p,Charlotte Hornets,98,Orlando Magic,90,Box Score,,15274,
Sat Jan 3 2015,8:00p,Boston Celtics,104,Chicago Bulls,109,Box Score,OT,21820,
Sat Jan 3 2015,8:00p,Miami Heat,79,Houston Rockets,115,Box Score,,18338,
Sat Jan 3 2015,8:00p,Utah Jazz,101,Minnesota Timberwolves,89,Box Score,,13702,
Sat Jan 3 2015,8:30p,Washington Wizards,92,San Antonio Spurs,101,Box Score,,18581,
Sat Jan 3 2015,9:00p,Memphis Grizzlies,85,Denver Nuggets,114,Box Score,,16350,
Sat Jan 3 2015,10:00p,Atlanta Hawks,115,Portland Trail Blazers,107,Box Score,,19829,
Sat Jan 3 2015,10:30p,Philadelphia 76ers,91,Los Angeles Clippers,127,Box Score,,19060,
Sun Jan 4 2015,1:00p,Dallas Mavericks,109,Cleveland Cavaliers,90,Box Score,,20562,
Sun Jan 4 2015,6:00p,Sacramento Kings,95,Detroit Pistons,114,Box Score,,12254,
Sun Jan 4 2015,6:00p,Brooklyn Nets,84,Miami Heat,88,Box Score,,20181,
Sun Jan 4 2015,7:30p,Milwaukee Bucks,95,New York Knicks,82,Box Score,,19812,
Sun Jan 4 2015,8:00p,Toronto Raptors,109,Phoenix Suns,125,Box Score,,17166,
Sun Jan 4 2015,9:30p,Indiana Pacers,87,Los Angeles Lakers,88,Box Score,,18997,
Mon Jan 5 2015,7:00p,Cleveland Cavaliers,92,Philadelphia 76ers,95,Box Score,,17771,
Mon Jan 5 2015,7:30p,Charlotte Hornets,104,Boston Celtics,95,Box Score,,16720,
Mon Jan 5 2015,7:30p,Dallas Mavericks,96,Brooklyn Nets,88,Box Score,OT,17732,
Mon Jan 5 2015,8:00p,Houston Rockets,105,Chicago Bulls,114,Box Score,,21510,
Mon Jan 5 2015,8:00p,New York Knicks,83,Memphis Grizzlies,105,Box Score,,16888,
Mon Jan 5 2015,8:00p,Denver Nuggets,110,Minnesota Timberwolves,101,Box Score,,10386,
Mon Jan 5 2015,8:00p,Washington Wizards,92,New Orleans Pelicans,85,Box Score,,16182,
Mon Jan 5 2015,9:00p,Indiana Pacers,105,Utah Jazz,101,Box Score,,17378,
Mon Jan 5 2015,10:00p,Los Angeles Lakers,94,Portland Trail Blazers,98,Box Score,,19827,
Mon Jan 5 2015,10:30p,Oklahoma City Thunder,91,Golden State Warriors,117,Box Score,,19596,
Mon Jan 5 2015,10:30p,Atlanta Hawks,107,Los Angeles Clippers,98,Box Score,,19060,
Tue Jan 6 2015,8:00p,Phoenix Suns,102,Milwaukee Bucks,96,Box Score,,12311,
Tue Jan 6 2015,8:30p,Detroit Pistons,105,San Antonio Spurs,104,Box Score,,18581,
Wed Jan 7 2015,7:00p,New Orleans Pelicans,94,Charlotte Hornets,98,Box Score,,15171,
Wed Jan 7 2015,7:00p,Houston Rockets,105,Cleveland Cavaliers,93,Box Score,,20562,
Wed Jan 7 2015,7:00p,Milwaukee Bucks,97,Philadelphia 76ers,77,Box Score,,10288,
Wed Jan 7 2015,7:00p,New York Knicks,91,Washington Wizards,101,Box Score,,16902,
Wed Jan 7 2015,7:30p,Memphis Grizzlies,86,Atlanta Hawks,96,Box Score,,17126,
Wed Jan 7 2015,7:30p,Boston Celtics,89,Brooklyn Nets,81,Box Score,,16005,
Wed Jan 7 2015,8:00p,Utah Jazz,97,Chicago Bulls,77,Box Score,,21379,
Wed Jan 7 2015,8:30p,Detroit Pistons,108,Dallas Mavericks,95,Box Score,,20279,
Wed Jan 7 2015,9:00p,Orlando Magic,90,Denver Nuggets,93,Box Score,,13513,
Wed Jan 7 2015,9:30p,Phoenix Suns,113,Minnesota Timberwolves,111,Box Score,,10547,
Wed Jan 7 2015,10:00p,Oklahoma City Thunder,83,Sacramento Kings,104,Box Score,,16037,
Wed Jan 7 2015,10:30p,Indiana Pacers,102,Golden State Warriors,117,Box Score,,19596,
Wed Jan 7 2015,10:30p,Los Angeles Lakers,89,Los Angeles Clippers,114,Box Score,,19487,
Thu Jan 8 2015,7:30p,Charlotte Hornets,103,Toronto Raptors,95,Box Score,,19800,
Thu Jan 8 2015,8:00p,Houston Rockets,120,New York Knicks,96,Box Score,,19812,
Thu Jan 8 2015,10:30p,Miami Heat,83,Portland Trail Blazers,99,Box Score,,19441,
Fri Jan 9 2015,7:00p,Boston Celtics,103,Indiana Pacers,107,Box Score,OT,18165,
Fri Jan 9 2015,7:30p,Philadelphia 76ers,90,Brooklyn Nets,88,Box Score,,16172,
Fri Jan 9 2015,7:30p,Atlanta Hawks,106,Detroit Pistons,103,Box Score,,18859,
Fri Jan 9 2015,8:00p,Memphis Grizzlies,95,New Orleans Pelicans,106,Box Score,,17639,
Fri Jan 9 2015,8:00p,Utah Jazz,94,Oklahoma City Thunder,99,Box Score,,18203,
Fri Jan 9 2015,8:00p,Chicago Bulls,86,Washington Wizards,102,Box Score,,20356,
Fri Jan 9 2015,8:30p,Minnesota Timberwolves,84,Milwaukee Bucks,98,Box Score,,15480,
Fri Jan 9 2015,8:30p,Phoenix Suns,95,San Antonio Spurs,100,Box Score,,18581,
Fri Jan 9 2015,10:00p,Denver Nuggets,118,Sacramento Kings,108,Box Score,,16029,
Fri Jan 9 2015,10:30p,Cleveland Cavaliers,94,Golden State Warriors,112,Box Score,,19596,
Fri Jan 9 2015,10:30p,Orlando Magic,84,Los Angeles Lakers,101,Box Score,,18997,
Sat Jan 10 2015,1:00p,Charlotte Hornets,110,New York Knicks,82,Box Score,,19812,
Sat Jan 10 2015,3:30p,Dallas Mavericks,100,Los Angeles Clippers,120,Box Score,,19060,
Sat Jan 10 2015,7:30p,Brooklyn Nets,93,Detroit Pistons,98,Box Score,,19301,
Sat Jan 10 2015,7:30p,Indiana Pacers,92,Philadelphia 76ers,93,Box Score,,17496,
